show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s11,TV Show,Title_11,Director_559,"Actor_239, Actor_2117, Actor_2276",India,"April 6, 2021",2007,TV-14,1 Season,Reality TV,A tv show in the Reality TV genre from India.
s12,Movie,Title_12,Director_1761,"Actor_2572, Actor_4929",France,"January 2, 2016",2016,TV-MA,169 min,Stand-Up Comedy,A movie in the Stand-Up Comedy genre from France.
s13,TV Show,Title_13,Director_1484,"Actor_1934, Actor_917, Actor_4678",United States,"July 27, 2019",2006,TV-Y7,1 Season,TV Dramas,A tv show in the TV Dramas genre from United States.
s14,Movie,Title_14,Director_488,"Actor_2568, Actor_2698",Brazil,"August 3, 2021",2014,TV-G,126 min,Stand-Up Comedy,A movie in the Stand-Up Comedy genre from Brazil.
s15,Movie,Title_15,Director_296,"Actor_1435, Actor_1754",Philippines,"July 7, 2021",2013,TV-14,163 min,Anime Features,A movie in the Anime Features genre from Philippines.
s16,TV Show,Title_16,Director_649,"Actor_3891, Actor_2019, Actor_2276, Actor_1188, Actor_2974",United States,"December 4, 2016",2012,TV-14,4 Seasons,Reality TV,A tv show in the Reality TV genre from United States.
s17,Movie,Title_17,Director_1637,"Actor_1964, Actor_2073",India,"December 22, 2016",2002,R,99 min,Crime Movies,A movie in the Crime Movies genre from India.
s18,Movie,Title_18,Director_485,"Actor_3183, Actor_65, Actor_3220, Actor_2094, Actor_2465",United Kingdom,"September 28, 2019",2007,R,149 min,Romantic Movies,A movie in the Romantic Movies genre from United Kingdom.
s19,Movie,Title_19,Director_1802,"Actor_278, Actor_2245, Actor_657, Actor_4028, Actor_3860",United States,"November 11, 2022",2021,TV-MA,170 min,Documentaries,A movie in the Documentaries genre from United States.
s20,Movie,Title_20,Director_535,"Actor_2883, Actor_3448",Brazil,"March 23, 2021",2009,TV-G,102 min,Romantic Movies,A movie in the Romantic Movies genre from Brazil.
s21,Movie,Title_21,Director_1314,"Actor_3633, Actor_1115, Actor_26",South Korea,"January 21, 2019",2004,TV-14,154 min,Crime Movies,A movie in the Crime Movies genre from South Korea.
s22,Movie,Title_22,Director_1058,"Actor_4867, Actor_3362, Actor_2617",United States,"March 8, 2021",2009,PG-13,100 min,Documentaries,A movie in the Documentaries genre from United States.
s23,Movie,Title_23,Director_173,"Actor_3012, Actor_1491, Actor_3224, Actor_3092, Actor_4673",India,"May 7, 2019",2014,PG,77 min,Horror Movies,A movie in the Horror Movies genre from India.
s24,Movie,Title_24,Director_407,"Actor_1383, Actor_408, Actor_3286, Actor_3514",United States,"February 15, 2021",2013,G,178 min,Dramas,A movie in the Dramas genre from United States.
s25,TV Show,Title_25,Director_1077,"Actor_3717, Actor_4049, Actor_971, Actor_1839, Actor_1665",South Korea,"January 23, 2018",2006,TV-MA,6 Seasons,Romantic TV Shows,A tv show in the Romantic TV Shows genre from South Korea.
s26,Movie,Title_26,Director_442,"Actor_1552, Actor_3427, Actor_1478, Actor_3347",United States,"April 20, 2020",2018,TV-MA,123 min,Thrillers,A movie in the Thrillers genre from United States.
s27,TV Show,Title_27,Director_1194,"Actor_703, Actor_85, Actor_3842, Actor_1092, Actor_2649",Nigeria,"April 12, 2019",2018,TV-MA,7 Seasons,Crime TV Shows,A tv show in the Crime TV Shows genre from Nigeria.
s28,Movie,Title_28,Director_525,"Actor_781, Actor_4563",Spain,"December 20, 2020",2018,PG-13,151 min,Romantic Movies,A movie in the Romantic Movies genre from Spain.
s29,Movie,Title_29,Director_1981,"Actor_44, Actor_2078",United States,"October 22, 2020",2016,R,90 min,Dramas,A movie in the Dramas genre from United States.
s30,Movie,Title_30,Director_1189,"Actor_2133, Actor_1392, Actor_4127",India,"September 2, 2021",2010,R,110 min,Anime Features,A movie in the Anime Features genre from India.
s31,TV Show,Title_31,Director_240,"Actor_362, Actor_1048, Actor_4090, Actor_2302",India,"March 9, 2019",2017,TV-Y7,1 Season,Anime Series,A tv show in the Anime Series genre from India.
s32,TV Show,Title_32,Director_893,"Actor_2585, Actor_4025, Actor_1240",Germany,"September 11, 2022",2015,TV-Y7,1 Season,Anime Series,A tv show in the Anime Series genre from Germany.
s33,Movie,Title_33,Director_376,"Actor_3853, Actor_2132",United Kingdom,"January 8, 2016",2005,PG-13,116 min,Sci-Fi & Fantasy,A movie in the Sci-Fi & Fantasy genre from United Kingdom.
s34,TV Show,Title_34,Director_1453,"Actor_3750, Actor_4039, Actor_922, Actor_1213, Actor_1013",United States,"August 12, 2023",2009,TV-14,8 Seasons,Reality TV,A tv show in the Reality TV genre from United States.
s35,TV Show,Title_35,Director_1200,"Actor_4781, Actor_34, Actor_4310",United States,"October 22, 2022",2015,TV-MA,1 Season,TV Dramas,A tv show in the TV Dramas genre from United States.
s36,Movie,Title_36,Director_1818,"Actor_213, Actor_2329, Actor_1000, Actor_3230",Turkey,"November 4, 2017",2017,TV-MA,177 min,Anime Features,A movie in the Anime Features genre from Turkey.
s37,Movie,Title_37,Director_943,"Actor_3720, Actor_2207, Actor_4868, Actor_48, Actor_2699",United States,"January 3, 2022",2011,TV-G,73 min,Anime Features,A movie in the Anime Features genre from United States.
s38,TV Show,Title_38,Director_100,"Actor_2648, Actor_455, Actor_580, Actor_4483",United States,"April 28, 2023",2012,TV-14,2 Seasons,Horror TV Shows,A tv show in the Horror TV Shows genre from United States.
s39,Movie,Title_39,Director_1746,"Actor_1335, Actor_3183, Actor_3297",South Korea,"February 1, 2018",2015,TV-MA,92 min,Romantic Movies,A movie in the Romantic Movies genre from South Korea.
s40,TV Show,Title_40,Director_1652,"Actor_4944, Actor_1076, Actor_2942, Actor_788",United States,"July 24, 2017",2017,TV-PG,2 Seasons,Horror TV Shows,A tv show in the Horror TV Shows genre from United States.
s41,Movie,Title_41,Director_1154,"Actor_740, Actor_3462, Actor_3017, Actor_1527, Actor_3557",Philippines,"August 9, 2020",2017,R,122 min,Children & Family Movies,A movie in the Children & Family Movies genre from Philippines.
s42,Movie,Title_42,Director_1327,"Actor_4058, Actor_4320, Actor_4299",Japan,"November 8, 2019",2018,TV-MA,125 min,Romantic Movies,A movie in the Romantic Movies genre from Japan.
s43,Movie,Title_43,Director_262,"Actor_2037, Actor_4286, Actor_3504, Actor_2421",United States,"May 5, 2022",2022,R,70 min,Thrillers,A movie in the Thrillers genre from United States.
s44,Movie,Title_44,Director_846,"Actor_3807, Actor_4657",United Kingdom,"September 14, 2016",2004,PG-13,177 min,Dramas,A movie in the Dramas genre from United Kingdom.
s45,Movie,Title_45,Director_1355,"Actor_1471, Actor_1493, Actor_3220, Actor_371, Actor_683",Argentina,"February 24, 2017",2002,R,134 min,Thrillers,A movie in the Thrillers genre from Argentina.
s46,TV Show,Title_46,Director_543,"Actor_1534, Actor_1730, Actor_1517, Actor_641",India,"October 26, 2021",2020,TV-MA,3 Seasons,Romantic TV Shows,A tv show in the Romantic TV Shows genre from India.
s47,Movie,Title_47,Director_239,"Actor_1407, Actor_3909",Germany,"January 13, 2017",2002,TV-MA,146 min,Anime Features,A movie in the Anime Features genre from Germany.
s48,Movie,Title_48,Director_1666,"Actor_3236, Actor_2480, Actor_718, Actor_1025",India,"May 20, 2023",2023,R,144 min,Crime Movies,A movie in the Crime Movies genre from India.
s49,Movie,Title_49,Director_986,"Actor_1981, Actor_3570, Actor_4413",United States,"January 7, 2015",2006,TV-MA,164 min,Dramas,A movie in the Dramas genre from United States.
s50,TV Show,Title_50,Director_1849,"Actor_3648, Actor_3974, Actor_3863",United States,"February 6, 2020",2005,TV-MA,2 Seasons,TV Dramas,A tv show in the TV Dramas genre from United States.
s51,TV Show,Title_51,Director_17,"Actor_3538, Actor_3406",United States,"January 11, 2021",2018,TV-14,1 Season,Reality TV,A tv show in the Reality TV genre from United States.
s52,TV Show,Title_52,Director_819,"Actor_4206, Actor_4842, Actor_3997, Actor_1900, Actor_498",Others,"January 16, 2021",2015,TV-PG,2 Seasons,Reality TV,A tv show in the Reality TV genre from Others.
s53,Movie,Title_53,Director_1821,"Actor_958, Actor_4054, Actor_2841, Actor_3673, Actor_3574",United Kingdom,"November 14, 2021",2014,R,100 min,Dramas,A movie in the Dramas genre from United Kingdom.
s54,Movie,Title_54,Director_450,"Actor_4933, Actor_3838, Actor_1075, Actor_2404",United States,"April 17, 2020",2019,TV-MA,84 min,Action & Adventure,A movie in the Action & Adventure genre from United States.
s55,Movie,Title_55,Director_1989,"Actor_1698, Actor_2314, Actor_707",Mexico,"August 26, 2022",2018,R,113 min,Crime Movies,A movie in the Crime Movies genre from Mexico.
s56,TV Show,Title_56,Director_622,"Actor_1716, Actor_4562, Actor_386",Canada,"July 16, 2021",2009,TV-MA,1 Season,Reality TV,A tv show in the Reality TV genre from Canada.
s57,TV Show,Title_57,Director_882,"Actor_1858, Actor_989",United States,"February 11, 2018",2004,TV-Y7,1 Season,Anime Series,A tv show in the Anime Series genre from United States.
s58,Movie,Title_58,Director_1836,"Actor_4223, Actor_4951, Actor_854",United Kingdom,"September 9, 2022",2008,R,103 min,Documentaries,A movie in the Documentaries genre from United Kingdom.
s59,Movie,Title_59,Director_1251,"Actor_4608, Actor_344",Spain,"February 26, 2022",2010,TV-G,116 min,Dramas,A movie in the Dramas genre from Spain.
s60,Movie,Title_60,Director_599,"Actor_4145, Actor_4083, Actor_814, Actor_1264, Actor_2980",India,"March 24, 2022",2018,TV-MA,75 min,Comedies,A movie in the Comedies genre from India.
s61,TV Show,Title_61,Director_1658,"Actor_2797, Actor_2350, Actor_4138, Actor_1403, Actor_699",United States,"April 27, 2023",2008,TV-MA,1 Season,Crime TV Shows,A tv show in the Crime TV Shows genre from United States.
s62,TV Show,Title_62,Director_1544,"Actor_1870, Actor_1131, Actor_3513, Actor_3387, Actor_3354",United States,"March 25, 2021",2013,TV-PG,1 Season,Anime Series,A tv show in the Anime Series genre from United States.
s63,TV Show,Title_63,Director_1652,"Actor_695, Actor_2772",India,"January 23, 2016",2005,TV-G,1 Season,Sci-Fi & Fantasy TV,A tv show in the Sci-Fi & Fantasy TV genre from India.
s64,Movie,Title_64,Director_1890,"Actor_4707, Actor_474, Actor_4259",United States,"January 22, 2020",2017,NR,81 min,Romantic Movies,A movie in the Romantic Movies genre from United States.
s65,TV Show,Title_65,Director_643,"Actor_65, Actor_2292, Actor_4324, Actor_1204",United States,"December 24, 2021",2015,TV-14,3 Seasons,Docuseries,A tv show in the Docuseries genre from United States.
s66,Movie,Title_66,Director_1818,"Actor_1617, Actor_2471, Actor_691, Actor_303, Actor_4403",Spain,"December 12, 2022",2021,R,86 min,Romantic Movies,A movie in the Romantic Movies genre from Spain.
s67,Movie,Title_67,Director_1048,"Actor_4271, Actor_2792, Actor_1311, Actor_192",United States,"April 3, 2022",2016,TV-14,154 min,Romantic Movies,A movie in the Romantic Movies genre from United States.
s68,Movie,Title_68,Director_1035,"Actor_492, Actor_3056",United States,"December 14, 2022",2016,PG-13,90 min,Stand-Up Comedy,A movie in the Stand-Up Comedy genre from United States.
s69,TV Show,Title_69,Director_1173,"Actor_3713, Actor_2777",United States,"August 10, 2021",2009,TV-14,1 Season,Horror TV Shows,A tv show in the Horror TV Shows genre from United States.
s70,Movie,Title_70,Director_583,"Actor_3094, Actor_4258, Actor_2029",United States,"June 10, 2021",2013,NR,132 min,Crime Movies,A movie in the Crime Movies genre from United States.
s71,Movie,Title_71,Director_301,"Actor_3376, Actor_672, Actor_756, Actor_510, Actor_3481",United States,"August 4, 2022",2018,R,84 min,Children & Family Movies,A movie in the Children & Family Movies genre from United States.
s72,Movie,Title_72,Director_1063,"Actor_2161, Actor_4787, Actor_4087, Actor_3469, Actor_3606",United States,"October 18, 2019",2016,TV-MA,69 min,Horror Movies,A movie in the Horror Movies genre from United States.
s73,Movie,Title_73,Director_993,"Actor_1060, Actor_4205, Actor_4335, Actor_968, Actor_1742",Canada,"September 5, 2022",2011,TV-14,113 min,Horror Movies,A movie in the Horror Movies genre from Canada.
s74,TV Show,Title_74,Director_837,"Actor_991, Actor_3028",India,"October 28, 2021",2009,TV-MA,1 Season,Reality TV,A tv show in the Reality TV genre from India.
s75,Movie,Title_75,Director_603,"Actor_230, Actor_1171, Actor_1165, Actor_4831, Actor_3456",United Kingdom,"June 10, 2017",2011,TV-MA,79 min,Thrillers,A movie in the Thrillers genre from United Kingdom.
s76,Movie,Title_76,Director_1122,"Actor_554, Actor_367, Actor_3421, Actor_3942",United States,"January 4, 2018",2018,PG,87 min,Thrillers,A movie in the Thrillers genre from United States.
s77,Movie,Title_77,Director_1475,"Actor_1135, Actor_4136, Actor_3776",United Kingdom,"August 27, 2019",2016,PG-13,175 min,Thrillers,A movie in the Thrillers genre from United Kingdom.
s78,TV Show,Title_78,Director_1278,"Actor_3173, Actor_1908, Actor_3240, Actor_2778, Actor_4432",Turkey,"October 22, 2021",2008,TV-PG,1 Season,Reality TV,A tv show in the Reality TV genre from Turkey.
s79,Movie,Title_79,Director_51,"Actor_4597, Actor_1015, Actor_4583, Actor_698",United States,"March 23, 2019",2006,PG,154 min,Sci-Fi & Fantasy,A movie in the Sci-Fi & Fantasy genre from United States.
s80,Movie,Title_80,Director_1837,"Actor_986, Actor_4357",United States,"August 17, 2016",2007,PG-13,156 min,Anime Features,A movie in the Anime Features genre from United States.
s81,TV Show,Title_81,Director_1093,"Actor_3292, Actor_4825, Actor_369, Actor_4027",United States,"February 26, 2022",2021,TV-MA,1 Season,International TV Shows,A tv show in the International TV Shows genre from United States.
s82,Movie,Title_82,Director_187,"Actor_814, Actor_4439",Others,"July 9, 2020",2015,R,83 min,Dramas,A movie in the Dramas genre from Others.
s83,Movie,Title_83,Director_1390,"Actor_483, Actor_2665, Actor_1487",United States,"May 14, 2022",2011,TV-MA,92 min,Thrillers,A movie in the Thrillers genre from United States.
s84,Movie,Title_84,Director_529,"Actor_991, Actor_425, Actor_1660, Actor_1963, Actor_4891",United States,"July 11, 2017",2006,TV-MA,109 min,Crime Movies,A movie in the Crime Movies genre from United States.
s85,Movie,Title_85,Director_652,"Actor_4532, Actor_3335, Actor_537, Actor_3967, Actor_237",South Korea,"May 2, 2020",2008,R,156 min,Documentaries,A movie in the Documentaries genre from South Korea.
s86,Movie,Title_86,Director_1137,"Actor_2496, Actor_4656, Actor_3333",India,"April 25, 2015",2003,TV-MA,173 min,Sci-Fi & Fantasy,A movie in the Sci-Fi & Fantasy genre from India.
s87,Movie,Title_87,Director_345,"Actor_4404, Actor_3472, Actor_4548",India,"June 18, 2018",2007,PG,124 min,Comedies,A movie in the Comedies genre from India.
s88,TV Show,Title_88,Director_2,"Actor_3951, Actor_2239",India,"November 6, 2022",2016,TV-MA,2 Seasons,International TV Shows,A tv show in the International TV Shows genre from India.
s89,Movie,Title_89,Director_1046,"Actor_373, Actor_1323, Actor_4376, Actor_4613",South Korea,"October 27, 2023",2014,PG,108 min,Thrillers,A movie in the Thrillers genre from South Korea.
s90,Movie,Title_90,Director_573,"Actor_1728, Actor_4136, Actor_2608, Actor_2807, Actor_2142",United States,"December 18, 2017",2006,TV-MA,149 min,Thrillers,A movie in the Thrillers genre from United States.
s91,Movie,Title_91,Director_942,"Actor_131, Actor_1096, Actor_17, Actor_4988",Germany,"June 7, 2021",2016,R,91 min,Crime Movies,A movie in the Crime Movies genre from Germany.
s92,Movie,Title_92,Director_167,"Actor_4413, Actor_254",India,"July 18, 2018",2018,TV-G,146 min,Dramas,A movie in the Dramas genre from India.
s93,TV Show,Title_93,Director_793,"Actor_70, Actor_1023, Actor_3791",Philippines,"October 12, 2023",2020,TV-14,1 Season,Horror TV Shows,A tv show in the Horror TV Shows genre from Philippines.
s94,TV Show,Title_94,Director_733,"Actor_738, Actor_2484, Actor_1812",United States,"November 23, 2015",2008,TV-14,1 Season,Kids' TV,A tv show in the Kids' TV genre from United States.
s95,Movie,Title_95,Director_1682,"Actor_909, Actor_2273, Actor_4663, Actor_4099, Actor_4047",United States,"January 7, 2019",2010,G,64 min,Horror Movies,A movie in the Horror Movies genre from United States.
s96,Movie,Title_96,Director_263,"Actor_1044, Actor_2127",United States,"February 19, 2021",2011,TV-MA,154 min,Stand-Up Comedy,A movie in the Stand-Up Comedy genre from United States.
s97,Movie,Title_97,Director_1987,"Actor_4589, Actor_3719, Actor_17, Actor_3499",United Kingdom,"November 1, 2022",2013,PG,153 min,Documentaries,A movie in the Documentaries genre from United Kingdom.
s98,TV Show,Title_98,Director_250,"Actor_4060, Actor_2962, Actor_4238, Actor_357, Actor_1840",France,"July 9, 2023",2021,TV-Y,1 Season,Horror TV Shows,A tv show in the Horror TV Shows genre from France.
s99,Movie,Title_99,Director_686,"Actor_4685, Actor_208",United States,"July 7, 2020",2005,TV-G,128 min,Thrillers,A movie in the Thrillers genre from United States.
s100,Movie,Title_100,Director_675,"Actor_515, Actor_793, Actor_229, Actor_3932",Brazil,"April 6, 2023",2015,NR,114 min,Documentaries,A movie in the Documentaries genre from Brazil.
s101,Movie,Title_101,Director_970,"Actor_2792, Actor_446, Actor_2733",India,"April 4, 2023",2016,PG-13,140 min,Dramas,A movie in the Dramas genre from India.
s102,Movie,Title_102,Director_915,"Actor_701, Actor_498",India,"February 21, 2021",2020,G,159 min,Documentaries,A movie in the Documentaries genre from India.
s103,Movie,Title_103,Director_906,"Actor_2470, Actor_3538",United States,"January 26, 2021",2010,R,168 min,Romantic Movies,A movie in the Romantic Movies genre from United States.
s104,TV Show,Title_104,Director_1265,"Actor_1910, Actor_4912, Actor_87, Actor_3715, Actor_3146",United States,"July 4, 2019",2016,TV-PG,2 Seasons,TV Dramas,A tv show in the TV Dramas genre from United States.
s105,TV Show,Title_105,Director_673,"Actor_885, Actor_842, Actor_101",India,"August 17, 2019",2004,TV-Y7,2 Seasons,Docuseries,A tv show in the Docuseries genre from India.
s106,Movie,Title_106,Director_525,"Actor_3449, Actor_3944, Actor_3643, Actor_1524",South Korea,"November 17, 2022",2011,TV-MA,161 min,Crime Movies,A movie in the Crime Movies genre from South Korea.
s107,Movie,Title_107,Director_1545,"Actor_2550, Actor_4782, Actor_4434, Actor_1193",United States,"September 21, 2017",2015,TV-14,67 min,Action & Adventure,A movie in the Action & Adventure genre from United States.
s108,Movie,Title_108,Director_1347,"Actor_470, Actor_1945, Actor_4155",United States,"September 19, 2019",2004,R,103 min,Horror Movies,A movie in the Horror Movies genre from United States.
s109,Movie,Title_109,Director_1609,"Actor_2798, Actor_1552",Thailand,"November 7, 2019",2010,PG,114 min,Stand-Up Comedy,A movie in the Stand-Up Comedy genre from Thailand.
s110,Movie,Title_110,Director_1973,"Actor_2455, Actor_3430, Actor_2693, Actor_1330",Canada,"October 19, 2021",2016,PG-13,119 min,Horror Movies,A movie in the Horror Movies genre from Canada.
s111,TV Show,Title_111,Director_1420,"Actor_3822, Actor_1747, Actor_1959",United States,"November 8, 2020",2005,TV-Y7,5 Seasons,Reality TV,A tv show in the Reality TV genre from United States.
s112,Movie,Title_112,Director_378,"Actor_2973, Actor_82",India,"April 13, 2019",2016,TV-14,164 min,Crime Movies,A movie in the Crime Movies genre from India.
s113,Movie,Title_113,Director_1200,"Actor_360, Actor_244, Actor_1632, Actor_1621",United States,"April 21, 2018",2017,TV-MA,74 min,Children & Family Movies,A movie in the Children & Family Movies genre from United States.
s114,TV Show,Title_114,Director_45,"Actor_2145, Actor_829, Actor_172",United States,"March 7, 2018",2010,TV-MA,1 Season,Crime TV Shows,A tv show in the Crime TV Shows genre from United States.
s115,Movie,Title_115,Director_625,"Actor_1968, Actor_3029, Actor_3051, Actor_1404, Actor_4317",Philippines,"June 7, 2022",2010,TV-MA,143 min,Sci-Fi & Fantasy,A movie in the Sci-Fi & Fantasy genre from Philippines.
s116,Movie,Title_116,Director_1628,"Actor_1571, Actor_4363, Actor_3099",Italy,"March 5, 2021",2009,PG,172 min,Anime Features,A movie in the Anime Features genre from Italy.
s117,Movie,Title_117,Director_1262,"Actor_4387, Actor_2410, Actor_1218",Spain,"January 25, 2023",2015,R,114 min,Children & Family Movies,A movie in the Children & Family Movies genre from Spain.
s118,Movie,Title_118,Director_1815,"Actor_1715, Actor_667, Actor_3856, Actor_532, Actor_1372",United States,"September 19, 2019",2008,TV-MA,161 min,Documentaries,A movie in the Documentaries genre from United States.
s119,Movie,Title_119,Director_951,"Actor_2637, Actor_3063, Actor_4305",India,"August 17, 2021",2017,TV-14,142 min,Romantic Movies,A movie in the Romantic Movies genre from India.
s120,Movie,Title_120,Director_1196,"Actor_1698, Actor_1799",Spain,"November 26, 2020",2017,TV-14,123 min,Horror Movies,A movie in the Horror Movies genre from Spain.
s121,Movie,Title_121,Director_322,"Actor_2086, Actor_4511, Actor_695, Actor_1101",United States,"July 19, 2018",2016,PG,110 min,Horror Movies,A movie in the Horror Movies genre from United States.
s122,TV Show,Title_122,Director_1273,"Actor_3491, Actor_3696, Actor_3831, Actor_3544",Germany,"August 17, 2019",2005,TV-MA,2 Seasons,TV Dramas,A tv show in the TV Dramas genre from Germany.
s123,Movie,Title_123,Director_479,"Actor_622, Actor_2942, Actor_676, Actor_2413",India,"March 15, 2019",2004,TV-14,100 min,Children & Family Movies,A movie in the Children & Family Movies genre from India.
s124,Movie,Title_124,Director_243,"Actor_2952, Actor_314",Others,"April 4, 2017",2010,R,142 min,Stand-Up Comedy,A movie in the Stand-Up Comedy genre from Others.
s125,Movie,Title_125,Director_1574,"Actor_1562, Actor_4949, Actor_1130, Actor_4450",United Kingdom,"December 27, 2019",2013,R,146 min,Documentaries,A movie in the Documentaries genre from United Kingdom.
s126,Movie,Title_126,Director_1188,"Actor_3867, Actor_4200",United States,"July 27, 2022",2019,TV-14,96 min,Dramas,A movie in the Dramas genre from United States.
s127,Movie,Title_127,Director_1057,"Actor_3780, Actor_2791, Actor_704, Actor_2565, Actor_1539",Turkey,"August 8, 2018",2009,PG,89 min,Action & Adventure,A movie in the Action & Adventure genre from Turkey.
s128,Movie,Title_128,Director_1183,"Actor_2504, Actor_80, Actor_4095",India,"June 5, 2020",2005,R,116 min,Crime Movies,A movie in the Crime Movies genre from India.
s129,TV Show,Title_129,Director_614,"Actor_4809, Actor_191, Actor_4650, Actor_264",Argentina,"December 18, 2020",2017,TV-G,1 Season,Horror TV Shows,A tv show in the Horror TV Shows genre from Argentina.
s130,Movie,Title_130,Director_1943,"Actor_522, Actor_4379, Actor_3166, Actor_1543, Actor_3890",United States,"July 7, 2021",2018,NR,102 min,Action & Adventure,A movie in the Action & Adventure genre from United States.
s131,Movie,Title_131,Director_214,"Actor_263, Actor_4943, Actor_4003",United States,"February 6, 2021",2015,PG-13,117 min,Children & Family Movies,A movie in the Children & Family Movies genre from United States.
s132,Movie,Title_132,Director_597,"Actor_3725, Actor_471",United States,"April 8, 2023",2017,TV-MA,176 min,Action & Adventure,A movie in the Action & Adventure genre from United States.
s133,Movie,Title_133,Director_227,"Actor_4395, Actor_3428, Actor_3918",United States,"July 6, 2022",2020,TV-MA,101 min,Stand-Up Comedy,A movie in the Stand-Up Comedy genre from United States.
s134,Movie,Title_134,Director_886,"Actor_1301, Actor_4946, Actor_4712, Actor_2543, Actor_4813",Brazil,"April 10, 2022",2011,R,175 min,Comedies,A movie in the Comedies genre from Brazil.
s135,Movie,Title_135,Director_132,"Actor_4955, Actor_2023, Actor_4308, Actor_2695, Actor_4664",United States,"March 15, 2019",2004,TV-14,118 min,Stand-Up Comedy,A movie in the Stand-Up Comedy genre from United States.
s136,Movie,Title_136,Director_711,"Actor_3204, Actor_1435, Actor_3401, Actor_2041",India,"November 15, 2021",2015,R,65 min,Horror Movies,A movie in the Horror Movies genre from India.
s137,Movie,Title_137,Director_196,"Actor_358, Actor_1964, Actor_1294, Actor_2243, Actor_4406",United States,"December 19, 2020",2010,TV-14,118 min,Anime Features,A movie in the Anime Features genre from United States.
s138,Movie,Title_138,Director_1561,"Actor_3021, Actor_627",United States,"August 14, 2021",2012,TV-G,149 min,Sci-Fi & Fantasy,A movie in the Sci-Fi & Fantasy genre from United States.
s139,Movie,Title_139,Director_425,"Actor_3787, Actor_219",Germany,"March 9, 2019",2018,R,159 min,Comedies,A movie in the Comedies genre from Germany.
s140,Movie,Title_140,Director_1753,"Actor_3250, Actor_310, Actor_88",United States,"December 13, 2020",2015,PG-13,155 min,Sci-Fi & Fantasy,A movie in the Sci-Fi & Fantasy genre from United States.
s141,TV Show,Title_141,Director_140,"Actor_4493, Actor_1985",United States,"August 15, 2021",2020,TV-PG,1 Season,TV Dramas,A tv show in the TV Dramas genre from United States.
s142,Movie,Title_142,Director_37,"Actor_1452, Actor_2410",Mexico,"March 27, 2019",2009,TV-MA,165 min,Horror Movies,A movie in the Horror Movies genre from Mexico.
s143,TV Show,Title_143,Director_315,"Actor_2934, Actor_1458, Actor_1775, Actor_283, Actor_4361",United States,"November 9, 2021",2006,TV-PG,1 Season,Sci-Fi & Fantasy TV,A tv show in the Sci-Fi & Fantasy TV genre from United States.
s144,TV Show,Title_144,Director_632,"Actor_430, Actor_4901, Actor_39, Actor_399, Actor_3092",United States,"July 23, 2022",2010,TV-PG,4 Seasons,Reality TV,A tv show in the Reality TV genre from United States.
s145,Movie,Title_145,Director_864,"Actor_120, Actor_2762",Turkey,"February 1, 2022",2013,TV-G,107 min,Documentaries,A movie in the Documentaries genre from Turkey.
s146,Movie,Title_146,Director_1483,"Actor_361, Actor_3406, Actor_4199",Thailand,"November 6, 2018",2006,PG-13,68 min,Documentaries,A movie in the Documentaries genre from Thailand.
s147,TV Show,Title_147,Director_476,"Actor_868, Actor_2922, Actor_2650",United States,"July 4, 2021",2018,TV-MA,2 Seasons,Anime Series,A tv show in the Anime Series genre from United States.
s148,Movie,Title_148,Director_136,"Actor_3023, Actor_360, Actor_552, Actor_1791",United States,"August 8, 2015",2006,R,100 min,Dramas,A movie in the Dramas genre from United States.
